"Periode","Lag","Effect","Cause","PLCMF_Value","Sig_PLCMF","Bound"
"PERIOD_2",8,"region_1","region_4",0.007626,FALSE,0.015464
"PERIOD_2",8,"region_1","region_5",-0.034752,TRUE,0.015464
"PERIOD_2",8,"region_1","region_6",0.122559,TRUE,0.015464
"PERIOD_2",8,"region_2","region_1",0.061962,TRUE,0.015464
"PERIOD_2",8,"region_2","region_2",-0.251616,TRUE,0.015464
"PERIOD_2",8,"region_2","region_3",-0.035504,TRUE,0.015464
"PERIOD_2",8,"region_2","region_4",0.080771,TRUE,0.015464
"PERIOD_2",8,"region_2","region_5",-0.023769,TRUE,0.015464
"PERIOD_2",8,"region_2","region_6",0.179646,TRUE,0.015464
"PERIOD_2",8,"region_3","region_1",0.100717,TRUE,0.015464
"PERIOD_2",8,"region_3","region_2",-0.28017,TRUE,0.015464
"PERIOD_2",8,"region_3","region_3",0.022036,TRUE,0.015464
"PERIOD_2",8,"region_3","region_4",0.028498,TRUE,0.015464
"PERIOD_2",8,"region_3","region_5",0.005577,FALSE,0.015464
"PERIOD_2",8,"region_3","region_6",0.124871,TRUE,0.015464
"PERIOD_2",8,"region_4","region_1",0.093304,TRUE,0.015464
"PERIOD_2",8,"region_4","region_2",-0.353087,TRUE,0.015464
"PERIOD_2",8,"region_4","region_3",0.006187,FALSE,0.015464
"PERIOD_2",8,"region_4","region_4",0.063776,TRUE,0.015464
"PERIOD_2",8,"region_4","region_5",-0.009793,FALSE,0.015464
"PERIOD_2",8,"region_4","region_6",0.16855,TRUE,0.015464
"PERIOD_2",8,"region_5","region_1",0.069862,TRUE,0.015464
"PERIOD_2",8,"region_5","region_2",-0.247975,TRUE,0.015464
"PERIOD_2",8,"region_5","region_3",-0.005929,FALSE,0.015464
"PERIOD_2",8,"region_5","region_4",0.028588,TRUE,0.015464
"PERIOD_2",8,"region_5","region_5",-0.015575,TRUE,0.015464
"PERIOD_2",8,"region_5","region_6",0.13728,TRUE,0.015464
"PERIOD_2",8,"region_6","region_1",0.098005,TRUE,0.015464
"PERIOD_2",8,"region_6","region_2",-0.337971,TRUE,0.015464
"PERIOD_2",8,"region_6","region_3",0.018785,TRUE,0.015464
"PERIOD_2",8,"region_6","region_4",0.026318,TRUE,0.015464
"PERIOD_2",8,"region_6","region_5",-0.012005,FALSE,0.015464
"PERIOD_2",8,"region_6","region_6",0.184515,TRUE,0.015464
"PERIOD_2",9,"region_1","region_1",-0.035187,TRUE,0.015464
"PERIOD_2",9,"region_1","region_2",-0.130689,TRUE,0.015464
"PERIOD_2",9,"region_1","region_3",-0.015879,TRUE,0.015464
"PERIOD_2",9,"region_1","region_4",-0.011204,FALSE,0.015464
"PERIOD_2",9,"region_1","region_5",-0.033452,TRUE,0.015464
"PERIOD_2",9,"region_1","region_6",0.098616,TRUE,0.015464
"PERIOD_2",9,"region_2","region_1",-0.11693,TRUE,0.015464
"PERIOD_2",9,"region_2","region_2",-0.14081,TRUE,0.015464
"PERIOD_2",9,"region_2","region_3",-0.107226,TRUE,0.015464
"PERIOD_2",9,"region_2","region_4",0.083729,TRUE,0.015464
"PERIOD_2",9,"region_2","region_5",-0.083482,TRUE,0.015464
"PERIOD_2",9,"region_2","region_6",0.190737,TRUE,0.015464
"PERIOD_2",9,"region_3","region_1",-0.030214,TRUE,0.015464
"PERIOD_2",9,"region_3","region_2",-0.18814,TRUE,0.015464
"PERIOD_2",9,"region_3","region_3",0.006431,FALSE,0.015464
"PERIOD_2",9,"region_3","region_4",0.026661,TRUE,0.015464
"PERIOD_2",9,"region_3","region_5",-0.033065,TRUE,0.015464
"PERIOD_2",9,"region_3","region_6",0.137383,TRUE,0.015464
"PERIOD_2",9,"region_4","region_1",-0.073134,TRUE,0.015464
"PERIOD_2",9,"region_4","region_2",-0.158829,TRUE,0.015464
"PERIOD_2",9,"region_4","region_3",-0.018764,TRUE,0.015464
"PERIOD_2",9,"region_4","region_4",0.069174,TRUE,0.015464
"PERIOD_2",9,"region_4","region_5",-0.04829,TRUE,0.015464
"PERIOD_2",9,"region_4","region_6",0.158495,TRUE,0.015464
"PERIOD_2",9,"region_5","region_1",-0.037752,TRUE,0.015464
"PERIOD_2",9,"region_5","region_2",-0.159851,TRUE,0.015464
"PERIOD_2",9,"region_5","region_3",-0.025508,TRUE,0.015464
"PERIOD_2",9,"region_5","region_4",0.022858,TRUE,0.015464
"PERIOD_2",9,"region_5","region_5",-0.01178,FALSE,0.015464
"PERIOD_2",9,"region_5","region_6",0.122407,TRUE,0.015464
"PERIOD_2",9,"region_6","region_1",-0.090304,TRUE,0.015464
"PERIOD_2",9,"region_6","region_2",-0.176213,TRUE,0.015464
"PERIOD_2",9,"region_6","region_3",-0.02591,TRUE,0.015464
"PERIOD_2",9,"region_6","region_4",0.04813,TRUE,0.015464
"PERIOD_2",9,"region_6","region_5",-0.046349,TRUE,0.015464
"PERIOD_2",9,"region_6","region_6",0.18149,TRUE,0.015464
"PERIOD_2",10,"region_1","region_1",-0.103222,TRUE,0.015464
"PERIOD_2",10,"region_1","region_2",0.038205,TRUE,0.015464
"PERIOD_2",10,"region_1","region_3",0.002418,FALSE,0.015464
"PERIOD_2",10,"region_1","region_4",-0.028707,TRUE,0.015464
"PERIOD_2",10,"region_1","region_5",-0.00276,FALSE,0.015464
"PERIOD_2",10,"region_1","region_6",-0.001547,FALSE,0.015464
"PERIOD_2",10,"region_2","region_1",-0.157264,TRUE,0.015464
"PERIOD_2",10,"region_2","region_2",0.083921,TRUE,0.015464
"PERIOD_2",10,"region_2","region_3",-0.086448,TRUE,0.015464
"PERIOD_2",10,"region_2","region_4",-0.021374,TRUE,0.015464
"PERIOD_2",10,"region_2","region_5",-0.07236,TRUE,0.015464
"PERIOD_2",10,"region_2","region_6",-0.009982,FALSE,0.015464
"PERIOD_2",10,"region_3","region_1",-0.067417,TRUE,0.015464
"PERIOD_2",10,"region_3","region_2",-0.015833,TRUE,0.015464
"PERIOD_2",10,"region_3","region_3",-0.04458,TRUE,0.015464
"PERIOD_2",10,"region_3","region_4",0.011412,FALSE,0.015464
"PERIOD_2",10,"region_3","region_5",-0.037063,TRUE,0.015464
"PERIOD_2",10,"region_3","region_6",0.023023,TRUE,0.015464
"PERIOD_2",10,"region_4","region_1",-0.122508,TRUE,0.015464
"PERIOD_2",10,"region_4","region_2",0.028994,TRUE,0.015464
"PERIOD_2",10,"region_4","region_3",-0.013491,FALSE,0.015464
"PERIOD_2",10,"region_4","region_4",0.027857,TRUE,0.015464
"PERIOD_2",10,"region_4","region_5",-0.040541,TRUE,0.015464
"PERIOD_2",10,"region_4","region_6",0.031937,TRUE,0.015464
"PERIOD_2",10,"region_5","region_1",-0.096413,TRUE,0.015464
"PERIOD_2",10,"region_5","region_2",-0.009757,FALSE,0.015464
"PERIOD_2",10,"region_5","region_3",-0.008411,FALSE,0.015464
"PERIOD_2",10,"region_5","region_4",-0.014478,FALSE,0.015464
"PERIOD_2",10,"region_5","region_5",-0.040302,TRUE,0.015464
"PERIOD_2",10,"region_5","region_6",0.039762,TRUE,0.015464
"PERIOD_2",10,"region_6","region_1",-0.126971,TRUE,0.015464
"PERIOD_2",10,"region_6","region_2",0.026224,TRUE,0.015464
"PERIOD_2",10,"region_6","region_3",-0.037525,TRUE,0.015464
"PERIOD_2",10,"region_6","region_4",0.006361,FALSE,0.015464
"PERIOD_2",10,"region_6","region_5",-0.053548,TRUE,0.015464
"PERIOD_2",10,"region_6","region_6",0.035952,TRUE,0.015464
"PERIOD_2",11,"region_1","region_1",-0.1215,TRUE,0.015464
