Split,Window,Period,Region,Model,RMSE,MAPE,SMAPE
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 5,GRU-PACF,48.471,5.75,5.7255
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 5,GRU-PLCMF,56.36,7.5883,7.2408
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 6,GRU-SW,76.3659,5.3565,5.0499
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 6,GRU-PACF,78.5228,5.6249,5.3049
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 6,GRU-PLCMF,91.217,6.6824,6.253
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 1,GRU-SW,29.5404,3.4068,3.3754
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 1,GRU-PACF,29.3134,3.3208,3.2627
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 1,GRU-PLCMF,32.193,3.785,3.8156
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 2,GRU-SW,68.1678,4.3203,4.2204
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 2,GRU-PACF,57.4342,3.7095,3.7024
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 2,GRU-PLCMF,78.2451,4.9261,4.7685
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 3,GRU-SW,55.4089,4.6883,4.5534
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 3,GRU-PACF,64.5464,5.5895,5.3777
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 3,GRU-PLCMF,61.0532,5.3336,5.1544
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 4,GRU-SW,15.8587,2.0687,2.0853
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 4,GRU-PACF,16.056,2.3102,2.2895
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 4,GRU-PLCMF,16.839,2.2395,2.2634
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 5,GRU-SW,34.6332,4.7074,4.464
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 5,GRU-PACF,39.4155,5.2524,4.9065
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 5,GRU-PLCMF,32.8425,4.6897,4.4974
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 6,GRU-SW,37.0553,3.0467,3.0638
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 6,GRU-PACF,36.3114,3.0364,3.0312
Testing,"August 1, 2024 - August 15, 2024",Period_1,Region 6,GRU-PLCMF,38.9253,3.0992,3.1517
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 1,GRU-SW,37.5217,4.0456,3.8716
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 1,GRU-PACF,37.1256,4.1967,4.1136
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 1,GRU-PLCMF,35.3569,3.8817,3.7492
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 2,GRU-SW,71.0064,3.9345,3.891
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 2,GRU-PACF,94.1254,5.1447,5.0026
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 2,GRU-PLCMF,89.0673,4.9509,4.8207
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 3,GRU-SW,61.5919,4.854,4.7038
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 3,GRU-PACF,97.4105,7.882,7.5125
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 3,GRU-PLCMF,59.0651,4.5981,4.461
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 4,GRU-SW,18.8238,2.9409,2.89
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 4,GRU-PACF,19.4606,3.0403,2.9831
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 4,GRU-PLCMF,13.2726,1.9122,1.9051
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 5,GRU-SW,44.6758,5.9957,5.6157
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 5,GRU-PACF,44.5068,5.9498,5.5939
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 5,GRU-PLCMF,42.4051,5.6197,5.2972
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 6,GRU-SW,43.8957,3.4345,3.4092
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 6,GRU-PACF,50.735,3.9068,3.8089
Testing,"August 1, 2024 - August 15, 2024",Period_2,Region 6,GRU-PLCMF,47.1989,3.7529,3.73
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 1,GRU-SW,31.5555,3.8345,3.9264
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 1,GRU-PACF,24.5491,2.984,3.0048
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 1,GRU-PLCMF,25.1139,3.0904,3.118
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 2,GRU-SW,70.0947,3.7923,3.7076
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 2,GRU-PACF,62.8156,3.3477,3.2939
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 2,GRU-PLCMF,61.3016,3.2011,3.1561
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 3,GRU-SW,70.2838,5.3859,5.1878
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 3,GRU-PACF,54.878,4.0328,3.9405
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 3,GRU-PLCMF,62.1952,4.734,4.5804
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 4,GRU-SW,19.1785,2.2175,2.1872
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 4,GRU-PACF,22.3972,2.7832,2.7275
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 4,GRU-PLCMF,18.3215,2.1526,2.1732
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 5,GRU-SW,39.2235,4.5385,4.1588
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 5,GRU-PACF,40.8119,4.5376,4.0841
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 5,GRU-PLCMF,40.4041,4.7716,4.3966
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 6,GRU-SW,45.3973,3.2682,3.2519
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 6,GRU-PACF,36.7867,2.8086,2.7826
Testing,"August 1, 2024 - August 15, 2024",Period_3,Region 6,GRU-PLCMF,40.027,3.1501,3.0892
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 1,GRU-SW,78.3545,7.8609,7.0032
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 1,GRU-PACF,85.2821,9.4953,8.7303
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 1,GRU-PLCMF,82.0788,8.0344,7.0672
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 2,GRU-SW,124.5973,8.0043,7.4375
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 2,GRU-PACF,117.6918,6.9297,6.5274
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 2,GRU-PLCMF,111.1228,6.6907,6.2751
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 3,GRU-SW,91.486,8.2083,8.4823
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 3,GRU-PACF,85.0892,7.1545,7.1735
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 3,GRU-PLCMF,71.0268,5.6819,5.6802
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 4,GRU-SW,20.8481,3.349,3.3409
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 4,GRU-PACF,24.7982,3.6642,3.7392
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 4,GRU-PLCMF,24.5327,3.6365,3.7166
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 5,GRU-SW,57.4912,9.9396,10.2529
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 5,GRU-PACF,52.4407,8.986,9.1498
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 5,GRU-PLCMF,52.1008,8.9685,9.1148
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 6,GRU-SW,75.2911,4.5965,4.2364
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 6,GRU-PACF,75.228,4.7422,4.4022
Testing,"January 1, 2025 - January 15, 2025",Period_1,Region 6,GRU-PLCMF,70.807,4.713,4.431
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 1,GRU-SW,96.3059,9.2851,7.942
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 1,GRU-PACF,96.4314,9.3159,7.9758
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 1,GRU-PLCMF,93.7597,10.156,9.196
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 2,GRU-SW,181.9197,8.9337,7.9471
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 2,GRU-PACF,194.3108,9.314,8.1981
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 2,GRU-PLCMF,176.1955,8.6025,7.673
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 3,GRU-SW,107.5065,8.8993,9.0444
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 3,GRU-PACF,89.1777,6.2955,5.8917
