Periode,Lag,Effect,Cause,PLCMF_Value,PVal_Raw,PVal_BH_Adj,Sig_Raw,Sig_BH
PERIOD_1,8,region_2,region_1,0.009096,0.248941,0.280497,FALSE,FALSE
PERIOD_1,8,region_2,region_3,-0.005186,0.511,0.552432,FALSE,FALSE
PERIOD_1,8,region_2,region_4,-0.045701,0,0,TRUE,TRUE
PERIOD_1,8,region_2,region_5,-0.009667,0.220511,0.253826,FALSE,FALSE
PERIOD_1,8,region_2,region_6,-0.038112,1e-06,3e-06,TRUE,TRUE
PERIOD_1,8,region_3,region_1,-0.034374,1.3e-05,2.3e-05,TRUE,TRUE
PERIOD_1,8,region_3,region_2,0.031885,5.3e-05,9e-05,TRUE,TRUE
PERIOD_1,8,region_3,region_4,0.043495,0,0,TRUE,TRUE
PERIOD_1,8,region_3,region_5,-0.006639,0.400127,0.438495,FALSE,FALSE
PERIOD_1,8,region_3,region_6,0.05882,0,0,TRUE,TRUE
PERIOD_1,8,region_4,region_1,-0.055397,0,0,TRUE,TRUE
PERIOD_1,8,region_4,region_2,-0.040822,0,0,TRUE,TRUE
PERIOD_1,8,region_4,region_3,0.070151,0,0,TRUE,TRUE
PERIOD_1,8,region_4,region_5,-0.014582,0.064579,0.080934,FALSE,FALSE
PERIOD_1,8,region_4,region_6,0.101358,0,0,TRUE,TRUE
PERIOD_1,8,region_5,region_1,-0.02157,0.006259,0.008926,TRUE,TRUE
PERIOD_1,8,region_5,region_2,-0.026897,0.000652,0.001016,TRUE,TRUE
PERIOD_1,8,region_5,region_3,0.022275,0.004754,0.006874,TRUE,TRUE
PERIOD_1,8,region_5,region_4,-0.013851,0.079161,0.097529,FALSE,FALSE
PERIOD_1,8,region_5,region_6,0.038439,1e-06,2e-06,TRUE,TRUE
PERIOD_1,8,region_6,region_1,-0.045489,0,0,TRUE,TRUE
PERIOD_1,8,region_6,region_2,0.023893,0.002459,0.0037,TRUE,TRUE
PERIOD_1,8,region_6,region_3,0.029977,0.000145,0.000238,TRUE,TRUE
PERIOD_1,8,region_6,region_4,0.008459,0.283685,0.316672,FALSE,FALSE
PERIOD_1,8,region_6,region_5,-0.018036,0.022259,0.029596,TRUE,TRUE
PERIOD_1,9,region_1,region_2,-0.01596,0.043095,0.054869,TRUE,FALSE
PERIOD_1,9,region_1,region_3,0.012594,0.110434,0.132233,FALSE,FALSE
PERIOD_1,9,region_1,region_4,-0.017561,0.026027,0.034134,TRUE,TRUE
PERIOD_1,9,region_1,region_5,-0.013553,0.085849,0.105121,FALSE,FALSE
PERIOD_1,9,region_1,region_6,0.030214,0.000128,0.000211,TRUE,TRUE
PERIOD_1,9,region_2,region_1,-0.017636,0.0254,0.033495,TRUE,TRUE
PERIOD_1,9,region_2,region_3,0.051873,0,0,TRUE,TRUE
PERIOD_1,9,region_2,region_4,-0.020847,0.008238,0.01163,TRUE,TRUE
PERIOD_1,9,region_2,region_5,0.019141,0.015267,0.020877,TRUE,TRUE
PERIOD_1,9,region_2,region_6,-0.04541,0,0,TRUE,TRUE
PERIOD_1,9,region_3,region_1,-0.063441,0,0,TRUE,TRUE
PERIOD_1,9,region_3,region_2,-0.03193,5.2e-05,8.8e-05,TRUE,TRUE
PERIOD_1,9,region_3,region_4,0.057738,0,0,TRUE,TRUE
PERIOD_1,9,region_3,region_5,0.011241,0.154245,0.179267,FALSE,FALSE
PERIOD_1,9,region_3,region_6,0.086805,0,0,TRUE,TRUE
PERIOD_1,9,region_4,region_1,-0.105558,0,0,TRUE,TRUE
PERIOD_1,9,region_4,region_2,-0.085123,0,0,TRUE,TRUE
PERIOD_1,9,region_4,region_3,0.108739,0,0,TRUE,TRUE
PERIOD_1,9,region_4,region_5,-0.001346,0.864583,0.881104,FALSE,FALSE
PERIOD_1,9,region_4,region_6,0.155556,0,0,TRUE,TRUE
PERIOD_1,9,region_5,region_1,-0.030766,9.6e-05,0.00016,TRUE,TRUE
PERIOD_1,9,region_5,region_2,-0.054832,0,0,TRUE,TRUE
PERIOD_1,9,region_5,region_3,0.053838,0,0,TRUE,TRUE
PERIOD_1,9,region_5,region_4,-0.024561,0.001852,0.002823,TRUE,TRUE
PERIOD_1,9,region_5,region_6,0.065709,0,0,TRUE,TRUE
PERIOD_1,9,region_6,region_1,-0.06511,0,0,TRUE,TRUE
PERIOD_1,9,region_6,region_2,-0.020487,0.009416,0.013063,TRUE,TRUE
PERIOD_1,9,region_6,region_3,0.145787,0,0,TRUE,TRUE
PERIOD_1,9,region_6,region_4,0.052655,0,0,TRUE,TRUE
PERIOD_1,9,region_6,region_5,0.01629,0.038953,0.049727,TRUE,TRUE
PERIOD_1,10,region_1,region_2,-0.033908,1.7e-05,3e-05,TRUE,TRUE
PERIOD_1,10,region_1,region_3,0.030703,1e-04,0.000165,TRUE,TRUE
PERIOD_1,10,region_1,region_4,-0.01873,0.017598,0.023998,TRUE,TRUE
PERIOD_1,10,region_1,region_5,-0.013848,0.079243,0.097529,FALSE,FALSE
PERIOD_1,10,region_1,region_6,0.023221,0.003249,0.004813,TRUE,TRUE
PERIOD_1,10,region_2,region_1,-0.013084,0.097252,0.11818,FALSE,FALSE
PERIOD_1,10,region_2,region_3,0.04906,0,0,TRUE,TRUE
PERIOD_1,10,region_2,region_4,6.6e-05,0.993291,0.993291,FALSE,FALSE
PERIOD_1,10,region_2,region_5,0.016505,0.036451,0.046783,TRUE,TRUE
PERIOD_1,10,region_2,region_6,-0.031659,6e-05,0.000101,TRUE,TRUE
PERIOD_1,10,region_3,region_1,-0.084369,0,0,TRUE,TRUE
PERIOD_1,10,region_3,region_2,-0.057154,0,0,TRUE,TRUE
PERIOD_1,10,region_3,region_4,0.02548,0.001241,0.001908,TRUE,TRUE
PERIOD_1,10,region_3,region_5,-0.003481,0.659054,0.696798,FALSE,FALSE
PERIOD_1,10,region_3,region_6,0.123821,0,0,TRUE,TRUE
PERIOD_1,10,region_4,region_1,-0.070305,0,0,TRUE,TRUE
PERIOD_1,10,region_4,region_2,-0.095943,0,0,TRUE,TRUE
PERIOD_1,10,region_4,region_3,0.113654,0,0,TRUE,TRUE
PERIOD_1,10,region_4,region_5,-0.00818,0.299839,0.333927,FALSE,FALSE
PERIOD_1,10,region_4,region_6,0.096424,0,0,TRUE,TRUE
PERIOD_1,10,region_5,region_1,-0.031554,6.4e-05,0.000106,TRUE,TRUE
PERIOD_1,10,region_5,region_2,-0.05521,0,0,TRUE,TRUE
PERIOD_1,10,region_5,region_3,0.052177,0,0,TRUE,TRUE
PERIOD_1,10,region_5,region_4,-0.023556,0.002831,0.00422,TRUE,TRUE
PERIOD_1,10,region_5,region_6,0.047995,0,0,TRUE,TRUE
PERIOD_1,10,region_6,region_1,-0.090924,0,0,TRUE,TRUE
PERIOD_1,10,region_6,region_2,-0.068525,0,0,TRUE,TRUE
PERIOD_1,10,region_6,region_3,0.115466,0,0,TRUE,TRUE
PERIOD_1,10,region_6,region_4,0.022135,0.005024,0.00722,TRUE,TRUE
PERIOD_1,10,region_6,region_5,-0.004449,0.572862,0.615154,FALSE,FALSE
PERIOD_1,11,region_1,region_2,-0.028511,0.000302,0.000485,TRUE,TRUE
PERIOD_1,11,region_1,region_3,0.021218,0.007162,0.01014,TRUE,TRUE
PERIOD_1,11,region_1,region_4,-0.008493,0.281738,0.315231,FALSE,FALSE
PERIOD_1,11,region_1,region_5,0.002407,0.76035,0.793409,FALSE,FALSE
PERIOD_1,11,region_1,region_6,-0.009357,0.235646,0.2674,FALSE,FALSE
PERIOD_1,11,region_2,region_1,0.01263,0.109422,0.131636,FALSE,FALSE
PERIOD_1,11,region_2,region_3,0.023578,0.002804,0.004193,TRUE,TRUE
PERIOD_1,11,region_2,region_4,0.070598,0,0,TRUE,TRUE
PERIOD_1,11,region_2,region_5,0.027636,0.000461,0.000725,TRUE,TRUE
PERIOD_1,11,region_2,region_6,-0.111179,0,0,TRUE,TRUE
PERIOD_1,11,region_3,region_1,-0.068122,0,0,TRUE,TRUE
PERIOD_1,11,region_3,region_2,-0.112568,0,0,TRUE,TRUE
PERIOD_1,11,region_3,region_4,-0.035801,6e-06,1e-05,TRUE,TRUE
PERIOD_1,11,region_3,region_5,-0.017055,0.030649,0.039761,TRUE,TRUE
PERIOD_1,11,region_3,region_6,0.155446,0,0,TRUE,TRUE
PERIOD_1,11,region_4,region_1,0.001082,0.890909,0.906009,FALSE,FALSE
PERIOD_1,11,region_4,region_2,-0.040398,0,1e-06,TRUE,TRUE
PERIOD_1,11,region_4,region_3,0.010355,0.189387,0.21905,FALSE,FALSE
PERIOD_1,11,region_4,region_5,0.042787,0,0,TRUE,TRUE
PERIOD_1,11,region_4,region_6,-0.095366,0,0,TRUE,TRUE
PERIOD_1,11,region_5,region_1,-0.034283,1.4e-05,2.4e-05,TRUE,TRUE
PERIOD_1,11,region_5,region_2,-0.023847,0.002507,0.003761,TRUE,TRUE
PERIOD_1,11,region_5,region_3,0.041181,0,0,TRUE,TRUE
PERIOD_1,11,region_5,region_4,-0.011755,0.136244,0.159505,FALSE,FALSE
PERIOD_1,11,region_5,region_6,0.012015,0.127808,0.150732,FALSE,FALSE
PERIOD_1,11,region_6,region_1,-0.077697,0,0,TRUE,TRUE
PERIOD_1,11,region_6,region_2,-0.090442,0,0,TRUE,TRUE
PERIOD_1,11,region_6,region_3,0.08816,0,0,TRUE,TRUE
PERIOD_1,11,region_6,region_4,0.006451,0.413594,0.452222,FALSE,FALSE
PERIOD_1,11,region_6,region_5,-0.004257,0.589533,0.628836,FALSE,FALSE
PERIOD_1,12,region_1,region_2,-0.011949,0.129903,0.152827,FALSE,FALSE
PERIOD_1,12,region_1,region_3,-0.020802,0.008375,0.011789,TRUE,TRUE
PERIOD_1,12,region_1,region_4,0.074861,0,0,TRUE,TRUE
PERIOD_1,12,region_1,region_5,0.000558,0.943603,0.947551,FALSE,FALSE
PERIOD_1,12,region_1,region_6,-0.074906,0,0,TRUE,TRUE
PERIOD_1,12,region_2,region_1,0.000115,0.98837,0.990433,FALSE,FALSE
PERIOD_1,12,region_2,region_3,-0.012361,0.117175,0.139563,FALSE,FALSE
PERIOD_1,12,region_2,region_4,0.125033,0,0,TRUE,TRUE
PERIOD_1,12,region_2,region_5,0.015361,0.051544,0.065108,FALSE,FALSE
