"Periode","Lag","Effect","Cause","PLCMF_Value","PVal_Raw","PVal_BH_Adj","Sig_Raw","Sig_BH"
"PERIOD_3",7,"region_1","region_5",0.017815,0.023951,0.02986,TRUE,TRUE
"PERIOD_3",7,"region_1","region_6",-0.061642,0,0,TRUE,TRUE
"PERIOD_3",7,"region_2","region_1",-0.117375,0,0,TRUE,TRUE
"PERIOD_3",7,"region_2","region_3",-0.042958,0,0,TRUE,TRUE
"PERIOD_3",7,"region_2","region_4",-0.095411,0,0,TRUE,TRUE
"PERIOD_3",7,"region_2","region_5",-0.011357,0.150041,0.173124,FALSE,FALSE
"PERIOD_3",7,"region_2","region_6",0.03804,1e-06,2e-06,TRUE,TRUE
"PERIOD_3",7,"region_3","region_1",-0.180306,0,0,TRUE,TRUE
"PERIOD_3",7,"region_3","region_2",0.094145,0,0,TRUE,TRUE
"PERIOD_3",7,"region_3","region_4",-0.06743,0,0,TRUE,TRUE
"PERIOD_3",7,"region_3","region_5",0.000796,0.919644,0.927372,FALSE,FALSE
"PERIOD_3",7,"region_3","region_6",0.098483,0,0,TRUE,TRUE
"PERIOD_3",7,"region_4","region_1",-0.148763,0,0,TRUE,TRUE
"PERIOD_3",7,"region_4","region_2",0.113647,0,0,TRUE,TRUE
"PERIOD_3",7,"region_4","region_3",-0.075613,0,0,TRUE,TRUE
"PERIOD_3",7,"region_4","region_5",-0.008225,0.29718,0.324196,FALSE,FALSE
"PERIOD_3",7,"region_4","region_6",0.048849,0,0,TRUE,TRUE
"PERIOD_3",7,"region_5","region_1",-0.107591,0,0,TRUE,TRUE
"PERIOD_3",7,"region_5","region_2",0.054776,0,0,TRUE,TRUE
"PERIOD_3",7,"region_5","region_3",-0.002172,0.783053,0.798702,FALSE,FALSE
"PERIOD_3",7,"region_5","region_4",-0.041275,0,0,TRUE,TRUE
"PERIOD_3",7,"region_5","region_6",0.002117,0.788422,0.801785,FALSE,FALSE
"PERIOD_3",7,"region_6","region_1",-0.172763,0,0,TRUE,TRUE
"PERIOD_3",7,"region_6","region_2",0.097768,0,0,TRUE,TRUE
"PERIOD_3",7,"region_6","region_3",-0.043115,0,0,TRUE,TRUE
"PERIOD_3",7,"region_6","region_4",-0.084961,0,0,TRUE,TRUE
"PERIOD_3",7,"region_6","region_5",-0.003128,0.691782,0.714097,FALSE,FALSE
"PERIOD_3",8,"region_1","region_2",-0.060773,0,0,TRUE,TRUE
"PERIOD_3",8,"region_1","region_3",0.054107,0,0,TRUE,TRUE
"PERIOD_3",8,"region_1","region_4",0.080864,0,0,TRUE,TRUE
"PERIOD_3",8,"region_1","region_5",0.000863,0.912854,0.922463,FALSE,FALSE
"PERIOD_3",8,"region_1","region_6",-0.020149,0.010656,0.013899,TRUE,TRUE
"PERIOD_3",8,"region_2","region_1",-0.037553,2e-06,3e-06,TRUE,TRUE
"PERIOD_3",8,"region_2","region_3",-0.010763,0.172523,0.197169,FALSE,FALSE
"PERIOD_3",8,"region_2","region_4",-0.046005,0,0,TRUE,TRUE
"PERIOD_3",8,"region_2","region_5",0.016592,0.035472,0.043658,TRUE,TRUE
"PERIOD_3",8,"region_2","region_6",0.015281,0.052768,0.063961,FALSE,FALSE
"PERIOD_3",8,"region_3","region_1",-0.069483,0,0,TRUE,TRUE
"PERIOD_3",8,"region_3","region_2",-0.009854,0.211668,0.23906,FALSE,FALSE
"PERIOD_3",8,"region_3","region_4",0.029051,0.000231,0.000333,TRUE,TRUE
"PERIOD_3",8,"region_3","region_5",0.025637,0.001157,0.001596,TRUE,TRUE
"PERIOD_3",8,"region_3","region_6",0.042956,0,0,TRUE,TRUE
"PERIOD_3",8,"region_4","region_1",-0.086328,0,0,TRUE,TRUE
"PERIOD_3",8,"region_4","region_2",0.069821,0,0,TRUE,TRUE
"PERIOD_3",8,"region_4","region_3",-0.022732,0.003962,0.005254,TRUE,TRUE
"PERIOD_3",8,"region_4","region_5",-0.003554,0.652354,0.67924,FALSE,FALSE
"PERIOD_3",8,"region_4","region_6",0.023732,0.002631,0.003568,TRUE,TRUE
"PERIOD_3",8,"region_5","region_1",-0.02297,0.003599,0.004813,TRUE,TRUE
"PERIOD_3",8,"region_5","region_2",0.009558,0.225733,0.252568,FALSE,FALSE
"PERIOD_3",8,"region_5","region_3",0.013911,0.077875,0.092754,FALSE,FALSE
"PERIOD_3",8,"region_5","region_4",0.007562,0.337815,0.365205,FALSE,FALSE
"PERIOD_3",8,"region_5","region_6",-0.017823,0.023885,0.02986,TRUE,TRUE
"PERIOD_3",8,"region_6","region_1",-0.063369,0,0,TRUE,TRUE
"PERIOD_3",8,"region_6","region_2",-0.015316,0.05223,0.06347,FALSE,FALSE
"PERIOD_3",8,"region_6","region_3",0.002913,0.71201,0.733401,FALSE,FALSE
"PERIOD_3",8,"region_6","region_4",0.008517,0.280385,0.307271,FALSE,FALSE
"PERIOD_3",8,"region_6","region_5",0.030225,0.000128,0.000188,TRUE,TRUE
"PERIOD_3",9,"region_1","region_2",-0.048949,0,0,TRUE,TRUE
"PERIOD_3",9,"region_1","region_3",0.083129,0,0,TRUE,TRUE
"PERIOD_3",9,"region_1","region_4",0.026699,0.000714,0.000991,TRUE,TRUE
"PERIOD_3",9,"region_1","region_5",0.018298,0.020386,0.02575,TRUE,TRUE
"PERIOD_3",9,"region_1","region_6",-0.104338,0,0,TRUE,TRUE
"PERIOD_3",9,"region_2","region_1",-0.069707,0,0,TRUE,TRUE
"PERIOD_3",9,"region_2","region_3",-0.019984,0.011316,0.01464,TRUE,TRUE
"PERIOD_3",9,"region_2","region_4",0.046962,0,0,TRUE,TRUE
"PERIOD_3",9,"region_2","region_5",0.030424,0.000115,0.00017,TRUE,TRUE
"PERIOD_3",9,"region_2","region_6",-0.027956,0.000395,0.000561,TRUE,TRUE
"PERIOD_3",9,"region_3","region_1",-0.07435,0,0,TRUE,TRUE
"PERIOD_3",9,"region_3","region_2",-0.041325,0,0,TRUE,TRUE
"PERIOD_3",9,"region_3","region_4",0.109676,0,0,TRUE,TRUE
"PERIOD_3",9,"region_3","region_5",0.029419,0.000192,0.000278,TRUE,TRUE
"PERIOD_3",9,"region_3","region_6",-0.003227,0.682518,0.707579,FALSE,FALSE
"PERIOD_3",9,"region_4","region_1",-0.071837,0,0,TRUE,TRUE
"PERIOD_3",9,"region_4","region_2",0.010266,0.193227,0.219264,FALSE,FALSE
"PERIOD_3",9,"region_4","region_3",-0.032233,4.4e-05,6.7e-05,TRUE,TRUE
"PERIOD_3",9,"region_4","region_5",0.018915,0.016516,0.021029,TRUE,TRUE
"PERIOD_3",9,"region_4","region_6",0.031163,7.8e-05,0.000117,TRUE,TRUE
"PERIOD_3",9,"region_5","region_1",0.003153,0.689476,0.713251,FALSE,FALSE
"PERIOD_3",9,"region_5","region_2",-0.016572,0.035699,0.043825,TRUE,TRUE
"PERIOD_3",9,"region_5","region_3",0.011545,0.143393,0.167059,FALSE,FALSE
"PERIOD_3",9,"region_5","region_4",0.051363,0,0,TRUE,TRUE
"PERIOD_3",9,"region_5","region_6",-0.049231,0,0,TRUE,TRUE
"PERIOD_3",9,"region_6","region_1",-0.082641,0,0,TRUE,TRUE
"PERIOD_3",9,"region_6","region_2",-0.051457,0,0,TRUE,TRUE
"PERIOD_3",9,"region_6","region_3",-0.01566,0.047168,0.057463,TRUE,FALSE
"PERIOD_3",9,"region_6","region_4",0.10288,0,0,TRUE,TRUE
"PERIOD_3",9,"region_6","region_5",0.03385,1.8e-05,2.8e-05,TRUE,TRUE
"PERIOD_3",10,"region_1","region_2",-0.044986,0,0,TRUE,TRUE
"PERIOD_3",10,"region_1","region_3",-0.072647,0,0,TRUE,TRUE
"PERIOD_3",10,"region_1","region_4",-0.027447,0.000504,0.000707,TRUE,TRUE
"PERIOD_3",10,"region_1","region_5",-0.03052,0.00011,0.000162,TRUE,TRUE
"PERIOD_3",10,"region_1","region_6",0.057789,0,0,TRUE,TRUE
"PERIOD_3",10,"region_2","region_1",-0.047907,0,0,TRUE,TRUE
"PERIOD_3",10,"region_2","region_3",-0.012999,0.099442,0.116704,FALSE,FALSE
"PERIOD_3",10,"region_2","region_4",0.115318,0,0,TRUE,TRUE
"PERIOD_3",10,"region_2","region_5",0.035784,6e-06,9e-06,TRUE,TRUE
"PERIOD_3",10,"region_2","region_6",-0.072915,0,0,TRUE,TRUE
"PERIOD_3",10,"region_3","region_1",-0.046804,0,0,TRUE,TRUE
"PERIOD_3",10,"region_3","region_2",-0.030191,0.00013,0.00019,TRUE,TRUE
"PERIOD_3",10,"region_3","region_4",0.139505,0,0,TRUE,TRUE
"PERIOD_3",10,"region_3","region_5",0.024733,0.00172,0.002352,TRUE,TRUE
"PERIOD_3",10,"region_3","region_6",-0.035537,7e-06,1.1e-05,TRUE,TRUE
"PERIOD_3",10,"region_4","region_1",0.003831,0.627316,0.656017,FALSE,FALSE
"PERIOD_3",10,"region_4","region_2",-0.031589,6.2e-05,9.4e-05,TRUE,TRUE
"PERIOD_3",10,"region_4","region_3",0.02527,0.001361,0.001872,TRUE,TRUE
"PERIOD_3",10,"region_4","region_5",0.030597,0.000105,0.000157,TRUE,TRUE
"PERIOD_3",10,"region_4","region_6",-0.04479,0,0,TRUE,TRUE
"PERIOD_3",10,"region_5","region_1",0.018758,0.017431,0.022076,TRUE,TRUE
"PERIOD_3",10,"region_5","region_2",-0.00782,0.321615,0.349265,FALSE,FALSE
"PERIOD_3",10,"region_5","region_3",-0.019887,0.011719,0.015121,TRUE,TRUE
"PERIOD_3",10,"region_5","region_4",0.049768,0,0,TRUE,TRUE
